Date,time,reason,now,req,final,item_name
6/2/2024,22:57:01,auto_outfeed_ok,152.2,60,103.2,KRISCO
12/1/2025,5:54:18,auto_outfeed_ok,126.5,60,75.5,KRISCO
12/1/2025,5:59:01,auto_in_ok,75.5,180,179.5,KRISCO
12/2/2025,2:36:11,auto_outfeed_ok,178,60,169,KRISCO
12/2/2025,2:45:23,auto_outfeed_ok,169,60,159,KRISCO
12/2/2025,2:55:21,auto_outfeed_ok,159.5,60,150,KRISCO
12/2/2025,3:06:29,auto_outfeed_ok,150,60,140.5,KRISCO
12/2/2025,3:17:24,auto_outfeed_ok,140.5,60,131.5,KRISCO
12/2/2025,3:27:53,auto_outfeed_ok,131.5,60,122.5,KRISCO
12/2/2025,3:38:04,auto_outfeed_ok,122.5,60,114,KRISCO
12/2/2025,3:48:18,auto_outfeed_ok,114,60,105,KRISCO
12/2/2025,3:58:30,auto_outfeed_ok,105,60,96,KRISCO
12/2/2025,4:02:16,auto_in_ok,96,180,179,KRISCO
12/2/2025,4:08:40,auto_outfeed_ok,179,60,169,KRISCO
12/2/2025,4:19:55,auto_outfeed_ok,169.5,60,159.5,KRISCO
12/2/2025,4:30:53,auto_outfeed_ok,159.5,60,150,KRISCO
12/2/2025,4:41:49,auto_outfeed_ok,150,60,140,KRISCO
12/2/2025,4:52:35,auto_outfeed_ok,140.5,60,131.5,KRISCO
12/2/2025,5:03:08,auto_outfeed_ok,131,60,122,KRISCO
12/2/2025,5:18:39,auto_outfeed_ok,122,60,113,KRISCO
12/2/2025,5:29:09,auto_outfeed_ok,113,60,104,KRISCO
12/2/2025,5:39:22,auto_outfeed_ok,104,60,95,KRISCO
12/2/2025,5:43:08,auto_in_ok,95.5,180,179.5,KRISCO
12/2/2025,5:49:30,auto_outfeed_ok,179,60,170,KRISCO
12/2/2025,6:00:33,auto_outfeed_ok,169.5,60,160,KRISCO
12/2/2025,6:11:43,auto_outfeed_ok,160,60,150.5,KRISCO
12/2/2025,6:22:39,auto_outfeed_ok,150,60,141.5,KRISCO
12/2/2025,6:32:55,auto_outfeed_ok,141.5,60,132,KRISCO
12/2/2025,6:43:22,auto_outfeed_ok,132,60,123.5,KRISCO
12/2/2025,6:53:36,auto_outfeed_ok,123,60,114,KRISCO
12/2/2025,7:03:51,auto_outfeed_ok,114,60,105,KRISCO
12/2/2025,7:13:55,auto_outfeed_ok,105,60,96.5,KRISCO
